model_name,seed,epoch,loss
BBO-RVFL,15,9,0.029205374515909988
BBO-RVFL,15,10,0.029199688149160165
BBO-RVFL,15,11,0.029199688149160165
BBO-RVFL,15,12,0.029199688149160165
BBO-RVFL,15,13,0.029199688149160165
BBO-RVFL,15,14,0.029199688149160165
BBO-RVFL,15,15,0.029199688149160165
BBO-RVFL,15,16,0.029199688149160165
BBO-RVFL,15,17,0.029199688149160165
BBO-RVFL,15,18,0.029199688149160165
BBO-RVFL,15,19,0.029199688149160165
BBO-RVFL,15,20,0.029199688149160165
BBO-RVFL,15,21,0.029199688149160165
BBO-RVFL,15,22,0.029199688149160165
BBO-RVFL,15,23,0.029166097092880216
BBO-RVFL,15,24,0.029166097092880216
BBO-RVFL,15,25,0.029166097092880216
BBO-RVFL,15,26,0.02912977432623427
BBO-RVFL,15,27,0.02912977432623427
BBO-RVFL,15,28,0.02912977432623427
BBO-RVFL,15,29,0.029118747829346897
BBO-RVFL,15,30,0.029118747829346897
BBO-RVFL,15,31,0.029118747829346897
BBO-RVFL,15,32,0.029118747829346897
BBO-RVFL,15,33,0.029118747829346897
BBO-RVFL,15,34,0.029118747829346897
BBO-RVFL,15,35,0.029118747829346897
BBO-RVFL,15,36,0.029118747829346897
BBO-RVFL,15,37,0.029118747829346897
BBO-RVFL,15,38,0.029118747829346897
BBO-RVFL,15,39,0.029118747829346897
BBO-RVFL,15,40,0.029118747829346897
BBO-RVFL,15,41,0.029118747829346897
BBO-RVFL,15,42,0.029118747829346897
BBO-RVFL,15,43,0.029118747829346897
BBO-RVFL,15,44,0.029109530881668157
BBO-RVFL,15,45,0.029109530881668157
BBO-RVFL,15,46,0.029107448654660816
BBO-RVFL,15,47,0.029107448654660816
BBO-RVFL,15,48,0.029102560440376336
BBO-RVFL,15,49,0.029102560440376336
BBO-RVFL,15,50,0.029102560440376336
BBO-RVFL,21,1,0.02930326570606649
BBO-RVFL,21,2,0.029253070754824077
BBO-RVFL,21,3,0.029253070754824077
BBO-RVFL,21,4,0.029236251156949743
BBO-RVFL,21,5,0.029234659232932825
BBO-RVFL,21,6,0.029234659232932825
BBO-RVFL,21,7,0.029234659232932825
BBO-RVFL,21,8,0.029234659232932825
BBO-RVFL,21,9,0.029234659232932825
BBO-RVFL,21,10,0.029234659232932825
BBO-RVFL,21,11,0.029234659232932825
BBO-RVFL,21,12,0.029234659232932825
BBO-RVFL,21,13,0.029234659232932825
BBO-RVFL,21,14,0.029234659232932825
BBO-RVFL,21,15,0.029234659232932825
BBO-RVFL,21,16,0.029234659232932825
BBO-RVFL,21,17,0.029234659232932825
BBO-RVFL,21,18,0.029234659232932825
BBO-RVFL,21,19,0.029234659232932825
BBO-RVFL,21,20,0.029234659232932825
BBO-RVFL,21,21,0.029234659232932825
BBO-RVFL,21,22,0.029234659232932825
BBO-RVFL,21,23,0.029234659232932825
BBO-RVFL,21,24,0.029234659232932825
BBO-RVFL,21,25,0.029234262475456813
BBO-RVFL,21,26,0.029230139067062833
BBO-RVFL,21,27,0.029230139067062833
BBO-RVFL,21,28,0.029230139067062833
BBO-RVFL,21,29,0.029230139067062833
BBO-RVFL,21,30,0.029230139067062833
BBO-RVFL,21,31,0.029230139067062833
BBO-RVFL,21,32,0.029230139067062833
BBO-RVFL,21,33,0.029230139067062833
BBO-RVFL,21,34,0.029230139067062833
BBO-RVFL,21,35,0.029230139067062833
BBO-RVFL,21,36,0.029230139067062833
BBO-RVFL,21,37,0.029230139067062833
BBO-RVFL,21,38,0.029230139067062833
BBO-RVFL,21,39,0.029230139067062833
BBO-RVFL,21,40,0.029230139067062833
BBO-RVFL,21,41,0.029230139067062833
BBO-RVFL,21,42,0.029230139067062833
BBO-RVFL,21,43,0.029230139067062833
BBO-RVFL,21,44,0.029230139067062833
